-4.2114610211009140e-05,4.2114610211009140e-05
-4.2114610211009140e-05,4.2114607942024390e-05
-4.2114611345501515e-05,4.2114615089326359e-05
-4.2114610097559905e-05,4.2051796885078501e-05
-4.2130313400680256e-05,4.2130308295464561e-05
-4.2130314421723390e-05,4.2130321909373078e-05
-4.2130313173781780e-05,4.2240233913190238e-05
-4.2114610211009140e-05,4.2126895402049960e-05
-4.2113074562129042e-05,4.2085424713942097e-05
-4.2116146767483144e-05,4.0838893274407464e-05
-4.2243872116790713e-05,4.2416594723756816e-05
-4.2228170061611978e-05,4.2228185036911340e-05
-4.2228168813670362e-05,4.2247974441222188e-05
-4.2226645303858687e-05,4.3553580033265533e-05
-4.2131864251758193e-05,4.2153166615101627e-05
-4.2130444094201969e-05,4.2383606521694790e-05
-4.2114621442483665e-05,4.2138254960761225e-05
-4.2113231235526158e-05,4.2116296407027532e-05
-4.2113060948220532e-05,4.2056958825389127e-05
-4.2116013691527446e-05,4.2143799678799504e-05
-4.2114624392163844e-05,4.2444982218886604e-05
-4.2098893067081803e-05,4.2125920986548243e-05
-4.2097664525287879e-05,4.4284105086776539e-05
-4.2002601892179674e-05,4.2010067759607400e-05
-4.2002290814370187e-05,4.2033007195449351e-05
-4.2001062159127021e-05,4.2416639649654907e-05
-4.1985078409491328e-05,4.2011988001402955e-05
-4.1984081757939045e-05,3.4666639060162932e-05
-4.2245418997145335e-05,4.2281648784273203e-05
-4.2244169694140925e-05,4.2253498624948463e-05
-4.2243858729780679e-05,4.2738714887888487e-05
-4.2227895627906231e-05,4.2267873324047323e-05
-4.2226646324901821e-05,4.5355379463377186e-05
-4.2131836229796509e-05,4.2173614365338250e-05
-4.2130607461104101e-05,4.2690046639799810e-05
-4.2114623484569939e-05,4.2125805949021321e-05
-4.2114312860557404e-05,4.2160201261977254e-05
-4.2113072633492003e-05,4.2006024428779472e-05
-4.2115889691510750e-05,4.2156285561541625e-05
-4.2114853899971501e-05,4.2752679127645721e-05
-4.2098908269279641e-05,4.2149734321867397e-05
-4.2097668609460427e-05,4.2110795820742681e-05
-4.2097356056810853e-05,4.6184966349070910e-05
-4.2002295352339688e-05,4.2124184305619118e-05
-4.1999525148856064e-05,4.2568823066298883e-05
-4.1986874084024000e-05,4.2116291755608796e-05
-4.1984060656380854e-05,2.9700032016454382e-05
-4.2245422967868656e-05,4.2260436386175180e-05
-4.2245110188320598e-05,4.2382973701847478e-05
-4.2242296647228212e-05,4.2882547419602236e-05
-4.2229491631780735e-05,4.2355352556317646e-05
-4.2227023770515301e-05,4.7177873168918760e-05
-4.2131815128238318e-05,4.2270849324447943e-05
-4.2129191841517379e-05,4.2154015442297326e-05
-4.2128732145206637e-05,4.2760564984151034e-05
-4.2117244275407651e-05,4.2356250053236268e-05
-4.2112976315089279e-05,4.1042080405145267e-05
-4.2131763962632163e-05,4.2381516559839790e-05
-4.2127457883369958e-05,4.3621823039707528e-05
-4.2102129660381184e-05,4.2137934239766542e-05
-4.2101532917391432e-05,4.2364210672789153e-05
-4.2097226724679992e-05,5.5969637265530756e-05
-4.1873478167569495e-05,4.2114570957572932e-05
-4.1869651297886901e-05,4.3493111703076014e-05
-4.1844284729055818e-05,4.2120927858703163e-05
-4.1840028680907400e-05,4.1880941198766282e-05
-4.1839408794273176e-05,5.0036093066951544e-06
-4.2389196846326576e-05,4.2677944669277717e-05
-4.2384950554812589e-05,4.5199851449759608e-05
-4.2344154889668426e-05,4.2645588379469098e-05
-4.2339848696956993e-05,5.5968885550882593e-05
-4.2147890431408743e-05,4.2282553768841505e-05
-4.2146020107277733e-05,4.2368601612081080e-05
-4.2142971045568096e-05,4.5191451895106487e-05
-4.2101775358412175e-05,4.2414622976007394e-05
-4.2097604056844238e-05,3.9501821969070628e-05
-4.2131759084314944e-05,4.2458985598630819e-05
-4.2127509389323824e-05,4.2902711887092593e-05
-4.2117570895762688e-05,4.4639615517068288e-05
-4.2085646280303126e-05,4.2425621879592345e-05
-4.2081396585312007e-05,6.8122716896063586e-05
-4.1759898803697794e-05,4.2102085074830811e-05
-4.1755725800391294e-05,4.5174949001759566e-05
-4.1714530340133843e-05,4.1974911315716434e-05
